# Yarn → Mojmap 成员对照表（m413 gradlew mojmapMembers 生成，勿手改）
# 过滤：仅本仓源码出现过的标识符 × 名字确实变了的成员；列=种类(M/F)	Yarn名	Mojmap名	宿主类(样本)
F	AIR	CAVE_AIR	StructurePiece
F	AIR	DATA_AIR_SUPPLY_ID	Entity
F	AIR	DEFAULT_BLOCK_STATE	StructureTemplate$SimplePalette
F	ALL	ANY	FishingHookPredicate,GameTypePredicate
F	ALL	VALUES	Direction
F	AQUA	CYAN	BrainDebugRenderer
F	BED	BED_BLOCK_MAP	ChunkPalettedStorageFix
F	BLOCK	SIDE	BlockModel$GuiLight
F	BLOCKS	RENAMED_BLOCKS	EntityTheRenameningFix
F	BLOCKS	TYPE_BY_BLOCK	ItemBlockRenderTypes
F	BUTTON_TEXTURES	RECIPE_BUTTON_SPRITES	RecipeBookComponent
F	C2S	SERVERBOUND	ConfigurationProtocols,HandshakeProtocols,LoginProtocols,StatusProtocols
F	C2S	SERVERBOUND_TEMPLATE	GameProtocols
F	CODEC	AUTHLIB_CODEC	UUIDUtil
F	CODEC	BLOCK_STATE_CODEC	ChunkSerializer
F	CODEC	COMPONENTS_CODEC	BlockEntity$ComponentHelper
F	CODEC	DATA_LAYER_STREAM_CODEC	ClientboundLightUpdatePacketData
F	CODEC	DIRECT_CODEC	BannerPattern,Biome,ChatType,ConfiguredFeature,ConfiguredWorldCarver,DamageType
F	CODEC	INT	InclusiveRange
F	CODEC	MAP_CODEC	GlyphProviderDefinition,ListOperation$Append,ListOperation$Insert,ListOperation$ReplaceAll,ListOperation$ReplaceSection,MobEffectInstance$Details
F	CODEC	NAMESPACED_STRING_CODEC	NamespacedSchema
F	CODEC	RESOURCE_KEY_CODEC	Level
F	CODEC	ROOT_CODEC	LootItemFunctions
F	CODEC	SINGLE_CODEC	StructureProcessorType
F	CODEC	STREAM_CODEC	BeeDebugPayload,BrainDebugPayload,BrandPayload,BreezeDebugPayload,ChatType$Bound,ClientIntentionPacket
F	CODEC	SUB_CODEC	BlockDataSource,EntityDataSource,StorageDataSource
F	CODEC	TRUSTED_CODEC	ProfilePublicKey
F	CODEC	TYPE_CODEC	SpriteSources
F	COMPARATOR	COMPARE_BY_NAME	Selector
F	COMPARATOR	CONTAINER_DRAIN_ORDER	LevelTicks
F	COMPARATOR	COUNTER_ENTRY_COMPARATOR	FilledProfileResults
F	COMPARATOR	HIGHEST_PRIORITY_FIRST	DownloadCacheCleaner$PathAndPriority
F	COMPARATOR	HOLDER_COMPARATOR	Stitcher
F	COMPARATOR	NEWEST_FIRST	DownloadCacheCleaner$PathAndTime
F	COMPARATOR	PATH_COMPARATOR	LinkFSPath
F	COMPARATOR	SIZE_THEN_COUNT	IoSummary$CountAndSize
F	CRAFTING	CRAFTING_CATEGORIES	RecipeBookCategories
F	CUSTOM_NAME	DATA_CUSTOM_NAME	Entity
F	CYAN	COLOR_CYAN	MapColor
F	DARK_GREEN	PLANT	MapColor
F	DEFAULT	BUILT_IN	RegistrationInfo
F	DEFAULT	DEFAULT_DIMENSIONS	MainTarget
F	DEFAULT	DEFAULT_MODE	GameType
F	DEFAULT	EMPTY	BannerPatternLayers,BlockItemStateProperties,BundleContents,ChargedProjectiles,CustomData,DebugStickState
F	DEFAULT	FILESYSTEM	PathAllowList$EntryType
F	DEFAULT	INITIAL	ListenerTransform
F	DEFAULT	INVALID_START	StructureStart
F	DEFAULT	LIGHT_RANGE	SpawnData$CustomSpawnRules
F	DEFAULT	NONE	FeatureConfiguration
F	DEFAULT	NORMAL	WorldPresets
F	DEFAULT	ONE	Weight
F	DEFAULT	REDSTONE	DustParticleOptions
F	DEFAULT	SCULK_TO_REDSTONE	DustColorTransitionOptions
F	DEFAULT	SYSTEM	ServerAddressResolver
F	DIMENSION	LEVEL_STEM	Registries
